video_id,account,publish_date,publish_time,topic_category,topic_angle,format,hook_text,hook_model,duration_seconds,word_count,views,retention_5s,completion_rate,like_count,comment_count,share_count,favorite_count,like_rate,share_rate,performance_tier,pillars_used,is_repeat,has_script,video_url,video_title,is_hidden,notes
18,抖音官号,2024-08-14,17:57,夜班,德国护士长这样给护士,口播,德国护士长这样给护士排班 也太好了吧 一般来说只有三班倒 早班晚班跟夜班 早班的话 是从早上6点到下午的2点,其他,39,219,99625,45.41,25.67,307,13,99,,0.31,0.1,B,,FALSE,TRUE,,,否,
19,抖音官号,2024-08-15,10:43,权益加班,我发现德国护士最大的,口播,我发现 德国护士最大的好处 就是可以不用做全职 一周只上两三天班 想想就挺幸福的 两三天班就算再忙再累 一会儿就过去了,无明确模型,37,379,27040,54.95,19.2,110,2,30,,0.41,0.11,C,"P3,P4,P6,P7,P20,P28",FALSE,TRUE,,,否,
20,抖音官号,2024-08-15,18:01,权益加班,我发现德国护士最大的,口播,我发现 德国护士最大的好处 就是可以不用做全职 一周只上两三天班 想想就挺幸福的 两三天班就三 再忙再累一会儿就过去了,无明确模型,75,371,26099,51.28,17.67,154,18,218,,0.59,0.84,C,"P3,P4,P6,P7,P20,P28",FALSE,TRUE,,,否,
21,抖音官号,2024-08-16,18:29,护士长,护士长临时交换班额外,口播,护士长临时交换班 额外给500多的奖金 你愿意吗 昨天一早 护士长给我发来信息 因为科室的人手不够,B_数字冲击,29,163,141225,49.42,28.47,375,21,156,,0.27,0.11,A,,FALSE,TRUE,,,否,
22,抖音官号,2024-08-17,17:00,夜班,在德国护士夜班都做些,口播,在德国 护士夜班都做些什么呢 我们夜班是10个小时 从晚上的8:24到早上的6:36 我在心内科 一共28张病床,B_数字冲击,58,293,1368279,44.65,15.64,3747,327,3875,,0.27,0.28,S,"P1,P7",FALSE,TRUE,,,否,
23,抖音官号,2024-08-18,17:00,权益加班,不是懒人呀千万别来德,口播,不是懒人呀 千万别来德国做护士 我怕你根本适应不了 大家好我是米娅 我在德国做护士7年多了 今天来说一说,B_数字冲击,65,325,19300,35.21,12.05,125,4,83,,0.65,0.43,C,"P20,P23,P28",FALSE,TRUE,,,否,
24,抖音官号,2024-08-19,18:38,其他,,口播,,无明确模型,51,,55133,45.48,12.69,175,11,54,,0.32,0.1,B,,FALSE,FALSE,,,是,格式默认口播，需确认
25,抖音官号,2024-08-20,18:25,权益加班,德国版本的护士真的是,口播,德国版本的护士 真的是让我不断的长见识 上班可以纹花臂戴首饰 下班没有开会不用考试 如果说护士行业的天花板,其他,67,382,41173,48.03,10.16,221,14,221,,0.54,0.54,C,"P4,P11,P12,P20,P28",FALSE,TRUE,,,否,
26,抖音官号,2024-08-21,13:52,护士证路径,国内35岁加的大专护,口播,国内35岁加的大专护士 拿到了 德国大型综合医院合同 护士的工作签证已到手 北京大使馆7天邮寄到家 学员伙伴 申请的,B_数字冲击,32,162,17730,49.68,8.64,120,8,23,,0.68,0.13,C,,FALSE,TRUE,,,否,
27,抖音官号,2024-08-21,18:21,休假病假,病假,口播,科室一半的护士一起请病假 我们护士长直接原地爆炸了 我在德国 心内科最多收28个病人 固定护士有21个,D_冲突事件,70,378,1483900,59.84,15.78,11906,1053,20334,,0.8,1.37,S,P11,FALSE,TRUE,,,否,
28,抖音官号,2024-08-22,17:30,权益加班,我在德国做护士7年德,口播,我在德国做护士7年 德国泰国 越南突尼斯希腊哥伦比亚 各个国家的护士同事都有 在我们这些外国护士里面,其他,65,371,56243,45.95,11.64,295,4,54,,0.52,0.1,B,"P5,P20,P23",FALSE,TRUE,,,否,
29,抖音官号,2024-08-23,18:14,权益加班,强制休息,口播,在德国 996想都不要想 我们医院每周工作38.5个小时 超出工作时长 就要被强制休息 不然就违法了 我在心内科,A_反常识,45,249,36947,41.93,14.86,193,25,151,,0.52,0.41,C,"P4,P7,P23",FALSE,TRUE,,,否,
30,抖音官号,2024-08-24,17:00,护士长,我在德国做护士7年多,口播,我在德国做护士7年多了 如果说 德国护士工作满分10分的话 我只能给打5分 不知道大家看到文化壁 穿皮钉染红毛的护士,其他,74,426,21040,45.01,5.05,124,12,38,,0.59,0.18,C,"P20,P23,P28",FALSE,TRUE,,,否,
31,抖音官号,2024-08-25,17:08,护士证路径,抗生素不做皮试你能理,口播,抗生素不做皮试你能理解吗 答就是说 德国上抗生素之前 都不做皮试的吗 刚到德国医院时的我 也是惊呆了 像我们科室,其他,47,301,48877,42.58,21.89,180,20,56,,0.37,0.11,C,,FALSE,TRUE,,,否,
32,抖音官号,2024-08-26,18:06,夜班,我真的是一个夜班都不,口播,我真的是一个夜班都不想上 一个 还没有过试用期的新护士 强硬拒绝了护士长的排班 结局会是怎么样的嘞 姐妹们我们科室,其他,67,372,26865,46.58,9.07,160,11,29,,0.6,0.11,C,,FALSE,TRUE,,,否,
33,抖音官号,2024-08-27,17:57,夜班,护士人手严重不足科室,口播,护士人手严重不足 科室都没有办法正常运转了 20多个固定护士上着上着 只剩下我和同事两个人了 因为有几个护士休了年假,D_冲突事件,41,226,25111,35.36,16.9,86,14,27,,0.34,0.11,C,P1,FALSE,TRUE,,,否,
34,抖音官号,2024-08-28,18:04,护士证路径,在德国当护士护工学生,口播,在德国当护士 护工学生工 都穿同样的工作服 没有规定的护士鞋和护士袜 头发染什么颜色没人管 想怎么整就怎么整,其他,35,192,32543,41.73,18.56,157,17,101,,0.48,0.31,C,"P20,P28",FALSE,TRUE,,,否,
35,抖音官号,2024-08-29,18:14,权益加班,中国护士的专业技能德,口播,中国护士的专业技能 德国护士样样比不上 到底 是不是归功于无尽的考试 考核呢我在德国做护士7年 中国德国护士之间的差异,其他,75,384,74873,52.78,14.36,504,27,202,,0.67,0.27,B,P23,FALSE,TRUE,,,否,
36,抖音官号,2024-08-30,18:00,权益加班,一个合格的护理部应该,口播,一个合格的护理部 应该是怎么样的嘞 我在德国做护士7年了 和护理部打照面的次数呀 屈指可数 有朋友觉得这一反常态,其他,73,396,20298,34.73,5.6,119,9,42,,0.59,0.21,C,P23,FALSE,TRUE,,,否,
37,抖音官号,2024-08-31,17:00,夜班,作为护士如果你的病人,口播,作为护士 如果你的病人自己把管拔了 怎么办我的病人 就自己把尿管给拔了 真的是瞬间清醒啊 我们夜班有28个病人,其他,48,301,56902,45.3,15.81,261,23,70,,0.46,0.12,B,,FALSE,TRUE,,,否,
38,抖音官号,2024-09-01,17:00,其他,,口播,,无明确模型,64,,1522347,48.72,18.54,6544,835,7498,,0.43,0.49,S,,FALSE,FALSE,,,是,格式默认口播，需确认
39,抖音官号,2024-09-02,18:19,休假病假,一个病区28张病床2,口播,一个病区 28张病床 20个固定护士 德国人严谨起来 到底有多可怕 互换比是有专门的规定 超过了就锁病床,其他,50,315,27893,40.41,11.71,89,19,30,,0.32,0.11,C,P1,FALSE,TRUE,,,否,
40,抖音官号,2024-09-03,17:55,休假病假,护士上班时被病人打了,口播,护士上班时被病人打了 这事放德国医院会怎么处理 大家猜猜看 我觉得我的同事肯定会说 不是病人 这是贵人啊 前有一个同事,其他,48,315,185327,48.82,9.11,683,59,1047,,0.37,0.56,A,P23,FALSE,TRUE,,,否,
41,抖音官号,2024-09-04,11:57,休假病假,看到一个护士骨折了打,口播,看到一个护士骨折了 打着石膏还在坚持上班 有时候真的怀疑 护士是自愿这么敬业的吗 可能外行人会觉得,其他,65,358,33477,50.34,10.14,135,4,23,,0.4,0.07,C,P13,FALSE,TRUE,,,否,
42,抖音官号,2024-09-04,18:00,休假病假,在德国当护士7年多同,口播,在德国当护士7年多 同事 是怎么对待我这个外国佬的 今天收到了奖金和鲜花 是因为替同事上了一个班 正常情况下,其他,50,316,48091,49.75,19.44,218,8,16,,0.45,0.03,C,P23,FALSE,TRUE,,,否,
43,抖音官号,2024-09-05,12:30,互换比管理,中国护士来德国能适应,口播,中国护士来德国能适应吗 19岁那年 我中专护理毕业 置身异能来到德国做护士 最担心的问题就是 我能不能适应,C_共情痛点,61,342,66979,48.59,23.07,328,40,182,,0.49,0.27,B,"P1,P2,P22,P24",FALSE,TRUE,,,否,
44,抖音官号,2024-09-05,17:52,权益加班,姐妹们今天这夜班上的,口播,姐妹们 今天这夜班上的是真的值呀 10个小时 一分钟也没有浪费 忙死我了 我在心内科 我们两个护士 20多个病人,其他,62,364,49306,59.75,24.62,200,20,49,,0.41,0.1,C,"P3,P7",FALSE,TRUE,,,否,
45,抖音官号,2024-09-06,00:29,其他,,口播,,无明确模型,67,,23618,33.74,5.98,174,15,71,,0.74,0.3,C,,FALSE,FALSE,,,是,格式默认口播，需确认
46,抖音官号,2024-09-06,17:53,其他,,口播,,无明确模型,69,,4250895,55.86,25.21,25428,1369,13019,,0.6,0.31,S,,FALSE,FALSE,,,是,格式默认口播，需确认
47,抖音官号,2024-09-07,17:00,休假病假,病假,口播,家人们德国真的很离谱 在这边当护士 病假居然能请一个半月的 一个半月不上班 工资居然还能照发 一分钱都不扣,A_反常识,39,206,59391,58.4,22.35,261,30,147,,0.44,0.25,B,,FALSE,TRUE,,,否,
48,抖音官号,2024-09-08,17:00,权益加班,我真服了德国人的脑回,口播,我真服了德国人的脑回路了 护士加班 在这里居然都是违法 来了德国才知道 原来很多工作 擅自加班都是违法的 像我法律规定,A_反常识,47,238,3243351,60.54,18.57,42750,9094,64332,,1.32,1.98,S,P5,FALSE,TRUE,,,否,
49,抖音官号,2024-09-09,17:51,护士长,护士被病人骂肯定不容,口播,护士被病人骂肯定不容忍 我们科室新收了个病人 一进病房 他就对护士骂骂咧咧 科室里中国 非洲印度,D_冲突事件,56,250,1540371,67.37,12.45,17640,1495,12310,,1.15,0.8,S,,FALSE,TRUE,,,否,
50,抖音官号,2024-09-10,17:29,夜班,今天是我的最后一天夜,口播,今天是我的最后一天夜班了 这次我一共是连上了5天 我接下来会连续休息6天 今天最后一天 我们可是又分钱了 看,其他,31,97,87078,49.23,33.61,407,42,198,,0.47,0.23,B,,FALSE,TRUE,,,否,
51,抖音官号,2024-09-11,17:47,夜班,中专学历毕业的护士在,口播,"中专学历毕业的护士 在德国工作 是种什么样的体验呢 今天和我在国内 同样做护士的朋友聊天 她本科学历 工资7,000",C_共情痛点,61,287,104317,42.07,15.96,494,51,305,,0.47,0.29,A,P22,FALSE,TRUE,,,否,
52,抖音官号,2024-09-12,17:38,夜班,想去德国当护士但我不,口播,想去德国当护士 但我不想上夜班 姐妹刚到德国 一个夜班都不上 上来就是躺平心态不可取哈 盘点能避开上夜班的科室,其他,49,306,33228,43.88,19.56,163,10,25,,0.49,0.08,C,,FALSE,TRUE,,,否,
53,抖音官号,2024-09-13,18:46,权益加班,下班啦姐妹们今天我们,口播,下班啦姐妹们 今天我们4个护士上班 20个病人 这算是我们科室 病人比较多的时候 我是在心内科工作,其他,70,384,23530,46.86,13.47,123,13,38,,0.52,0.16,C,P1,FALSE,TRUE,,,否,
54,抖音官号,2024-09-14,15:44,工资收入,中国护士出发德国我们,口播,中国护士出发德国 我们海狸未来的护士姐妹 准备去德国了 一个20岁加护士伙伴 和35岁加护士 今天一起飞德国 两位学员,B_数字冲击,32,166,44609,41.93,15.89,210,24,46,,0.47,0.1,C,,FALSE,TRUE,,,否,
55,抖音官号,2024-09-14,17:39,权益加班,我德国护士长说这两种,口播,我德国护士长说 这两种护士太讨厌了 尤其是总磨磨蹭蹭不下班的 就是想蹭加班费 碰见下班还赖着不走的 护士长就会说哎呦喂,其他,54,289,36135,51.9,24.62,179,5,58,,0.5,0.16,C,P4,FALSE,TRUE,,,否,
56,抖音官号,2024-09-15,17:00,权益加班,强制休息,口播,我在德国心内科做护士 科室有28张病床 夜班要求 只要是超过20个病床 必须至少要有两个正式护士 否则医院就违法了,A_反常识,67,340,119484,37.47,13.59,375,26,567,,0.31,0.47,A,"P1,P9,P11,P12",FALSE,TRUE,,,否,
57,抖音官号,2024-09-16,10:12,护士证路径,中国护士顺利抵达德国,口播,中国护士顺利抵达德国 准备开启德国护士之旅 我们海林老师 早早就去等候接机 3位护士伙伴都是走的 海林未来雇主,其他,30,175,222276,36.04,11.36,1030,83,364,,0.46,0.16,A,,FALSE,TRUE,,,否,
58,抖音官号,2024-09-16,17:00,夜班,在德国做护士可以兼职,口播,在德国做护士可以兼职吗 当然可以 哈喽大家好 我是努力搬砖的米亚 目前在德国杜赛医院做护士 同时也在不同的医院,其他,41,216,27282,46.84,23.62,123,6,14,,0.45,0.05,C,,FALSE,TRUE,,,否,
59,抖音官号,2024-09-17,17:00,互换比管理,护士因为讲话声音大而,口播,护士因为讲话声音大 而被投诉服务态度不好 护士不是服务员 但病人却总会把自己当做是 来医院买服务的消费者,D_冲突事件,47,251,25799,44.34,7.44,116,15,26,,0.45,0.1,C,"P1,P2",FALSE,TRUE,,,否,
60,抖音官号,2024-09-18,11:08,招聘学员,中国护士初到德国该怎,口播,中国护士初到德国 该怎么生活 海狸未来 将全流程服务贯彻到底 我们本期负责的护士伙伴 分别从北京和沈阳出发 没有中介费,其他,29,174,68299,32.65,15.65,358,31,70,,0.52,0.1,B,,FALSE,TRUE,,,否,
61,抖音官号,2024-09-18,17:40,权益加班,一个科室30张病床3,口播,一个科室30张病床 31个固定护士 不少姐妹说 这是什么小众文字 是的我在德国做护士 医院有严格的互换笔夜班,其他,69,346,513895,61.71,17.03,3463,513,5957,,0.67,1.16,A,"P1,P2,P4,P22",FALSE,TRUE,,,否,
62,抖音官号,2024-09-19,18:37,权益加班,催你下班,口播,你见过催你下班的护士长吗 我见过而且 我的护士长 每天都催着我下班 因为我加班 那她可能就违法了 我在德国,A_反常识,71,381,60492,48.07,17.15,272,39,237,,0.45,0.39,B,"P2,P4,P11",FALSE,TRUE,,,否,
63,抖音官号,2024-09-20,11:43,护士证路径,中国护士成功到德国做,口播,中国护士 成功到德国做护士了 今天 我们海狸未来的3位护士 伙伴已经成功飞到德国 走的是雇主付费路径 雇主买机票,其他,32,198,46442,30.75,12.11,185,11,45,,0.4,0.1,C,,FALSE,TRUE,,,否,
64,抖音官号,2024-09-20,17:48,权益加班,护士一个夜班你觉得值,口播,"护士一个夜班 你觉得值不值2,000块 来了德国才知道 夜班结束当天算休息 是根本不存在的 下了夜班还去开会学习",其他,68,373,51065,45.63,20.92,298,74,286,,0.58,0.56,B,P1,FALSE,TRUE,,,否,
65,抖音官号,2024-09-21,17:00,工资收入,工资,口播,护士长提问护理部检查 那简直是我的噩梦 我在国内实习过工作过 最怕的不是抢救 不是扎针 而是护理部的不定时查房,E_三连否定,49,351,47416,44.44,15.76,321,44,160,,0.68,0.34,C,,FALSE,TRUE,,,否,
66,抖音官号,2024-09-22,17:00,休假病假,病假,口播,天天说医院离了谁都照样赚 那怎么护士想请天假 都死活不批呢 今天带大家感受一下 德国护士的德式休假 就连我们科的护士长,其他,63,363,24125,42.57,15.05,126,23,71,,0.52,0.29,C,"P1,P2,P11",FALSE,TRUE,,,否,
67,抖音官号,2024-09-23,17:39,权益加班,Mia在德国当护士的,口播,Mia在德国当护士的一天 早上好呀 我是Mia现在是11点半了 不到最后一刻不起床 10分钟洗漱加擦脸,其他,67,339,23655,39.42,20.6,144,8,13,,0.61,0.05,C,,FALSE,TRUE,,,否,
68,抖音官号,2024-09-24,18:15,权益加班,原本休假10天但护士,口播,原本休假10天 但护士长却通知 让我再休3天 假期太多 无聊到崩溃啊 我在德国的一家教会医院,D_冲突事件,72,399,255993,52.5,7.6,787,141,2232,,0.31,0.87,A,"P4,P5",FALSE,TRUE,,,否,
69,抖音官号,2024-09-25,17:59,权益加班,医院永远缺护士护士却,口播,医院永远缺护士 护士却找不到工作 护士缺口大 医院却不多招 护士工资低 夜班长加班多 新护士都要一身职业病,C_共情痛点,67,381,22704,37.88,13.39,158,26,56,,0.7,0.25,C,"P1,P2,P11,P22,P25",FALSE,TRUE,,,否,
70,抖音官号,2024-09-26,18:10,其他,,口播,,无明确模型,71,,981725,61.03,16.79,7745,1143,11847,,0.79,1.21,A,,FALSE,FALSE,,,是,格式默认口播，需确认
71,抖音官号,2024-09-27,17:46,夜班,夜班竟是抢,口播,护士夜班竟是抢手货 你信吗 99%的德国护士呀 都不排斥夜班 我觉得最大的一点原因 就是因为夜班自愿 护士想上就上,其他,59,342,27824,44.6,12.46,147,9,41,,0.53,0.15,C,"P1,P7",FALSE,TRUE,,,否,
72,抖音官号,2024-09-28,17:08,休假病假,护士连上十几个小时不,口播,护士连上十几个小时不休息 连轴转高烧坚持上班 过度劳累晕倒了 还要爬起来继续工作 我在德国做护士 也是一个萝卜一个坑,其他,50,274,27265,45.19,5.9,186,18,65,,0.68,0.24,C,"P1,P2,P12",FALSE,TRUE,,,否,
73,抖音官号,2024-09-29,17:51,权益加班,德国护士可以卡点下班,口播,德国护士可以卡点下班 可以提前下班 却不能加班 究竟是为什么呢 因为德国护士真的很爱斤斤 计较,其他,88,516,17655,42.97,10.18,122,6,31,,0.69,0.18,C,"P4,P6",FALSE,TRUE,,,否,
74,抖音官号,2024-09-30,17:52,休假病假,这次我是连着上5个夜,口播,这次我是连着上5个夜班 上完这5个夜班 就休两个星期的年假了 还有王法 今天跟我搭班的 也是一个专职夜班护士,其他,43,241,214867,54.27,21.65,325,18,51,,0.15,0.02,A,,FALSE,TRUE,,,否,
75,抖音官号,2024-11-01,17:45,其他,,口播,,无明确模型,61,,21328,49.26,14.07,101,8,63,,0.47,0.3,C,,FALSE,FALSE,,,是,格式默认口播，需确认
76,抖音官号,2024-11-02,17:17,其他,,口播,,无明确模型,44,,81447,50.34,28.51,175,5,29,,0.21,0.04,B,,FALSE,FALSE,,,是,格式默认口播，需确认
77,抖音官号,2024-11-04,11:16,其他,,口播,,无明确模型,59,,27884,40.86,14.75,152,15,127,,0.55,0.46,C,,FALSE,FALSE,,,是,格式默认口播，需确认
78,抖音官号,2024-11-04,18:15,休假病假,一共是七个星期这就是,口播,一共是七个星期 这就是我 明年一整年的一个年假吧 马上就是2025年了 我们慢慢的要提交 我们明年的一个年假计划了,B_数字冲击,71,364,31184,43.26,18.44,143,7,94,,0.46,0.3,C,,FALSE,TRUE,,,否,
79,抖音官号,2024-11-05,18:23,其他,,口播,,无明确模型,68,,199364,43.66,17.48,881,106,1223,,0.44,0.61,A,,FALSE,FALSE,,,是,格式默认口播，需确认
80,抖音官号,2024-11-06,18:07,其他,,口播,,无明确模型,91,,255032,40.29,15.36,1108,82,1239,,0.43,0.49,A,,FALSE,FALSE,,,是,格式默认口播，需确认
81,抖音官号,2024-11-07,17:58,其他,,口播,,无明确模型,82,,31558,52.49,10.64,136,11,65,,0.43,0.21,C,,FALSE,FALSE,,,是,格式默认口播，需确认
82,抖音官号,2024-11-08,17:53,其他,,口播,,无明确模型,89,,99874,44.58,8.43,623,73,1191,,0.62,1.19,B,,FALSE,FALSE,,,是,格式默认口播，需确认
83,抖音官号,2024-11-09,16:56,其他,,口播,,无明确模型,56,,40580,51.16,15.68,183,9,14,,0.45,0.03,C,,FALSE,FALSE,,,是,格式默认口播，需确认
84,抖音官号,2024-11-10,17:01,其他,,口播,,无明确模型,72,,22799,50.95,14.87,112,4,24,,0.49,0.11,C,,FALSE,FALSE,,,是,格式默认口播，需确认
85,抖音官号,2024-11-11,18:15,其他,,口播,,无明确模型,51,,217844,56.52,21.94,1117,39,417,,0.51,0.19,A,,FALSE,FALSE,,,是,格式默认口播，需确认
86,抖音官号,2024-11-12,17:54,其他,,口播,,无明确模型,74,,16613,34.25,8.94,86,2,43,,0.52,0.26,C,,FALSE,FALSE,,,是,格式默认口播，需确认
87,抖音官号,2024-11-13,18:15,其他,,口播,,无明确模型,59,,240654,52.78,11.14,1299,190,1156,,0.54,0.48,A,,FALSE,FALSE,,,是,格式默认口播，需确认
88,抖音官号,2024-11-14,18:02,其他,,口播,,无明确模型,76,,24902,42.8,15.69,119,10,97,,0.48,0.39,C,,FALSE,FALSE,,,是,格式默认口播，需确认
89,抖音官号,2024-11-15,17:43,其他,,口播,,无明确模型,90,,26151,45.95,12.26,121,3,42,,0.46,0.16,C,,FALSE,FALSE,,,是,格式默认口播，需确认
90,抖音官号,2024-11-16,17:31,其他,,口播,,无明确模型,39,,13556,39.7,16.38,56,16,39,,0.41,0.29,C,,FALSE,FALSE,,,是,格式默认口播，需确认
91,抖音官号,2024-11-17,17:25,其他,,口播,,无明确模型,67,,222913,52.56,15.54,1123,159,2291,,0.5,1.03,A,,FALSE,FALSE,,,是,格式默认口播，需确认
92,抖音官号,2024-11-18,17:51,其他,,口播,,无明确模型,42,,35172,45.72,24.79,124,4,31,,0.35,0.09,C,,FALSE,FALSE,,,是,格式默认口播，需确认
93,抖音官号,2024-11-20,18:34,其他,,口播,,无明确模型,79,,1601019,60.06,24.22,8635,325,1890,,0.54,0.12,S,,FALSE,FALSE,,,是,格式默认口播，需确认
94,抖音官号,2024-11-21,18:09,其他,,口播,,无明确模型,59,,37540,50.43,14.65,184,19,97,,0.49,0.26,C,,FALSE,FALSE,,,是,格式默认口播，需确认
95,抖音官号,2024-11-22,17:12,其他,,口播,,无明确模型,65,,311472,49.73,13.69,1208,214,2360,,0.39,0.76,A,,FALSE,FALSE,,,是,格式默认口播，需确认
96,抖音官号,2024-11-23,12:06,其他,,口播,,无明确模型,35,,45910,37.99,13.2,225,21,119,,0.49,0.26,C,,FALSE,FALSE,,,是,格式默认口播，需确认
97,抖音官号,2024-11-23,17:02,其他,,口播,,无明确模型,77,,39162,48.79,14.26,240,17,35,,0.61,0.09,C,,FALSE,FALSE,,,是,格式默认口播，需确认
98,抖音官号,2024-11-24,17:15,其他,,口播,,无明确模型,58,,23711,40.04,17.0,130,16,14,,0.55,0.06,C,,FALSE,FALSE,,,是,格式默认口播，需确认
99,抖音官号,2024-11-25,18:09,其他,,口播,,无明确模型,59,,25919,40.37,8.64,105,26,52,,0.41,0.2,C,,FALSE,FALSE,,,是,格式默认口播，需确认
100,抖音官号,2024-11-26,18:17,其他,,口播,,无明确模型,46,,22981,41.81,16.07,110,3,29,,0.48,0.13,C,,FALSE,FALSE,,,是,格式默认口播，需确认
101,抖音官号,2024-11-27,18:05,其他,,口播,,无明确模型,75,,20872,42.97,8.72,117,41,61,,0.56,0.29,C,,FALSE,FALSE,,,是,格式默认口播，需确认
102,抖音官号,2024-11-28,18:20,其他,,口播,,无明确模型,86,,14463,41.23,8.13,84,3,18,,0.58,0.12,C,,FALSE,FALSE,,,是,格式默认口播，需确认
